code_culture;libelle_culture;categorie_surf_agricole;categorie_ecoregime;num_chapitre;nom_chapitre
MDI;Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes);TA;TA – Autres cultures;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
MID;Maïs doux;TA;TA – Autres cultures;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
MIS;Maïs (hors maïs doux);TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
MLC;Mélange multi-espèces avec légumineuses fourragères prépondérantes sans graminées prairiales;TA;TA – Protéagineux et légumineuses fourragères;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
MLF;Mélange de légumineuses à graines ou fourragères pures;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
MLG;Mélange de légumineuses prépondérantes et de graminées fourragères de 5 ans ou moins;TA;TA – Protéagineux et légumineuses fourragères;1.5;SURFACES HERBACÉES TEMPORAIRES ET MÉLANGES AVEC GRAMINÉES
MLO;Melon et pastèque;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
MLT;Millet;TA;TA – Autres cultures;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
MOH;Moha;TA;TA – Autres cultures;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
MOT;Moutarde d'hiver;TA;TA – Oléagineux d’hiver;1.2;OLÉAGINEUX
MPC;Mélange multi-espèces avec légumineuses à graines prépondérantes sans graminées prairiales;TA;TA – Protéagineux et légumineuses fourragères;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
MRS;Marais salants;NA;sans objet;1.12;DIVERS – SURFACES NON ADMISSIBLES AUX AIDES 1er PILIER
MSW;Culture pérenne à forte biomasse (miscanthus, switchgrass, silphie, canne fourragère, …);CP;CP gérée comme une TA – Autres cultures;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
NOS;Noisette;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
NOX;Noix (y compris noix de coco);CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
NVT;Navet, rutabaga et autres légumes racines (hors carotte, radis, betterave);TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
OAG;Autres oléagineux ou mélange d'oléagineux de printemps et d'été (dont moutarde ou navette d'été, sésame et nyger);TA;TA – Oléagineux de printemps;1.2;OLÉAGINEUX
OEI;Oeillette (pavot);TA;TA – Autres cultures;1.2;OLÉAGINEUX
OHR;Autres oléagineux ou mélange d'oléagineux d'hiver (dont navette d'hiver);TA;TA – Oléagineux d’hiver;1.2;OLÉAGINEUX
OIG;Oignon et échalote;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
OLI;Oliveraie;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
ORH;Orge d'hiver;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
ORP;Orge de printemps;TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
PAG;Autre légumineuse à graines ou fourragères;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PCH;Pois chiche;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PEP;Pépinière (plants laissés en terre plus d'un an);CP;CP;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
PEV;Pépinière (plants laissés en terre moins d'un an);CP;CP gérée comme une TA – Autres cultures;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
PFR;Petit fruit à baie (hors fraise);CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
PHF;Pois et haricot frais (alimentation humaine);TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PHI;Pois protéagineux d'hiver (alimentation animale);TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PHS;Pois et haricot secs (alimentation humaine);TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PME;Plantes médicinales pérennes (autres que arbres);CP;CP gérée comme une TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
POR;Poireau;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
POT;Potiron, citrouille et autres courges;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
PPH;Prairie de 6 ans et plus (couvert herbacé);PP;PP;1.6;PRAIRIES OU PÂTURAGES PERMANENTS
PPP;Plantes médicinales pérennes (arbres ou arbustes) sauf cassis;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
PPR;Pois protéagineux de printemps (alimentation animale);TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
PRF;Plantes à parfum pérennes autres que lavande et lavandin;CP;CP gérée comme une TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
PRU;Prune (y compris mirabelle, quetsche, reine-claude, …);CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
PSL;Persil;TA;TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
